"date,total_pnl,total_fees,num_trades,win_rate,net_pnl,classification,value,next_day_net_pnl,target"
"2023-05-01,0.0,0.0,3,0.0,0.0,Greed,63,-12.501455,0"
"2023-12-05,0.0,12.501455,9,0.0,-12.501455,Extreme Greed,75,-233.73556800000006,0"
"2023-12-14,-205.43473700000007,28.300831000000002,11,36.36363636363637,-233.73556800000006,Greed,72,-27.284522999999997,0"
"2023-12-15,-24.632033999999997,2.652489,2,0.0,-27.284522999999997,Greed,70,-3.8371890000000004,0"
"2023-12-16,0.0,3.8371890000000004,3,0.0,-3.8371890000000004,Greed,67,275.91328599999997,1"
"2023-12-17,304.982785,29.069499,14,50.0,275.91328599999997,Greed,73,-7.791045,0"
"2023-12-18,0.0,7.791045,2,0.0,-7.791045,Greed,65,977.6380160000001,1"
"2023-12-19,1000.5386120000001,22.900596,15,66.66666666666666,977.6380160000001,Greed,73,127.323095,1"
"2023-12-20,162.732282,35.409187,18,44.44444444444444,127.323095,Greed,74,505.902933,1"
"2023-12-21,537.211402,31.308469,49,53.06122448979592,505.902933,Greed,70,119.61410899999998,1"
"2023-12-22,141.832675,22.218566000000003,10,20.0,119.61410899999998,Greed,74,127.32714899999999,1"
"2023-12-23,146.936704,19.609555,13,61.53846153846154,127.32714899999999,Greed,70,907.881241,1"
"2023-12-24,1008.619956,100.738715,39,38.46153846153847,907.881241,Greed,71,-260.068473,0"
"2023-12-25,-245.081348,14.987124999999999,3,0.0,-260.068473,Greed,73,-747.7419739999999,0"
"2023-12-27,-704.8892269999999,42.852747,28,14.285714285714285,-747.7419739999999,Greed,73,-995.760176,0"
"2023-12-28,-970.730876,25.0293,23,0.0,-995.760176,Greed,73,366.53224199999994,1"
"2023-12-29,508.92214299999995,142.389901,50,30.0,366.53224199999994,Greed,65,179.361122,1"
"2023-12-30,354.998648,175.637526,52,44.230769230769226,179.361122,Greed,68,-195.591327,0"
"2024-01-01,-129.53146,66.059867,18,5.555555555555555,-195.591327,Greed,65,753.64194,1"
"2024-01-02,783.979116,30.337176,17,47.05882352941176,753.64194,Greed,71,767.3906959999999,1"
"2024-01-03,866.015507,98.624811,67,41.7910447761194,767.3906959999999,Greed,70,-92.551772,0"
"2024-01-04,-67.60364,24.948132,5,0.0,-92.551772,Greed,68,-261.844074,0"
"2024-01-05,164.141565,425.985639,66,19.696969696969695,-261.844074,Greed,72,60.95132200000002,1"
"2024-01-06,135.58166400000002,74.630342,22,45.45454545454545,60.95132200000002,Greed,70,-1097.893699,0"
"2024-01-07,-835.681235,262.212464,97,9.278350515463918,-1097.893699,Greed,71,-650.4875030000001,0"
"2024-01-08,-269.874439,380.613064,128,25.0,-650.4875030000001,Greed,71,-1030.362791,0"
"2024-01-09,-826.349863,204.012928,70,25.71428571428571,-1030.362791,Extreme Greed,76,-1951.136207,0"
"2024-01-10,-1517.091342,434.044865,193,21.243523316062177,-1951.136207,Greed,73,-239.95667199999997,0"
"2024-01-11,-164.08950099999998,75.867171,21,23.809523809523807,-239.95667199999997,Extreme Greed,76,-1974.9997509999998,0"
"2024-01-12,-1925.519024,49.480726999999995,7,0.0,-1974.9997509999998,Greed,71,140.20086799999999,1"
"2024-01-15,152.85358,12.652712,14,64.28571428571429,140.20086799999999,Neutral,52,-2316.490767,0"
"2024-01-16,-2299.171458,17.319309,9,33.33333333333333,-2316.490767,Greed,64,653.566505,1"
"2024-01-17,813.2741110000001,159.707606,53,20.754716981132077,653.566505,Greed,60,-23.724711,0"
"2024-01-18,68.93319,92.657901,46,6.521739130434782,-23.724711,Greed,63,-478.471103,0"
"2024-01-19,-385.419235,93.051868,48,12.5,-478.471103,Neutral,51,-414.09745300000003,0"
"2024-01-20,-146.57487000000003,267.522583,106,14.150943396226415,-414.09745300000003,Neutral,52,240.79871600000004,1"
"2024-01-21,266.58114600000005,25.78243,11,27.27272727272727,240.79871600000004,Greed,56,1308.162691,1"
"2024-01-22,1375.640959,67.478268,85,27.058823529411764,1308.162691,Greed,55,-454.96929999999975,0"
"2024-01-23,-369.2447299999998,85.72457,45,24.444444444444443,-454.96929999999975,Neutral,50,-3036.12491,0"
"2024-01-24,-2808.353815,227.771095,68,14.705882352941178,-3036.12491,Neutral,48,-3110.270917,0"
"2024-01-25,-3093.6293849999997,16.641532,6,0.0,-3110.270917,Neutral,52,89.755765,1"
"2024-01-26,90.2,0.444235,5,20.0,89.755765,Neutral,49,-2477.707544,0"
"2024-01-28,-2478.06972,-0.362176,11,0.0,-2477.707544,Neutral,54,383.299937,1"
"2024-01-29,486.562542,103.26260500000001,74,60.810810810810814,383.299937,Greed,55,-273.90700100000004,0"
"2024-01-30,-173.65419100000003,100.25281,49,10.204081632653061,-273.90700100000004,Greed,61,-2349.252292,0"
"2024-01-31,-799.840817,1549.411475,859,26.891734575087312,-2349.252292,Greed,60,-0.5020439999999999,0"
"2024-02-01,0.0,0.5020439999999999,6,0.0,-0.5020439999999999,Greed,63,364.853837,1"
"2024-02-02,456.423473,91.569636,42,30.952380952380953,364.853837,Greed,63,113.64683799999997,1"
"2024-02-03,223.30918699999998,109.662349,56,10.714285714285714,113.64683799999997,Greed,60,-2.902985000000008,0"
"2024-02-04,47.62389499999999,50.52688,35,25.71428571428571,-2.902985000000008,Greed,60,-199.00365900000003,0"
"2024-02-05,-33.45419400000003,165.549465,72,19.444444444444446,-199.00365900000003,Greed,60,-1204.222904,0"
"2024-02-06,-215.615907,988.606997,1088,16.452205882352942,-1204.222904,Greed,64,240.902427,1"
